instant,dteday,hr,holiday,weekday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
1,2011-01-01,0,False,6,1,0.24,0.24,0.81,0.0,3.0,13.0,16.0
2,2011-01-01,1,False,6,1,0.22,0.22,0.8,0.0,8.0,32.0,40.0
3,2011-01-01,2,False,6,1,0.22,0.22,0.8,0.0,5.0,27.0,32.0
4,2011-01-01,3,False,6,1,0.24,0.24,0.75,0.0,3.0,10.0,13.0
5,2011-01-01,4,False,6,1,0.24,0.24,0.75,0.0,0.0,1.0,1.0
6,2011-01-01,5,False,6,2,0.24,0.24,0.75,0.0896,0.0,1.0,1.0
7,2011-01-01,6,False,6,1,0.22,0.22,0.8,0.0,2.0,0.0,2.0
8,2011-01-01,7,False,6,1,0.2,0.2,0.86,0.0,1.0,2.0,3.0
9,2011-01-01,8,False,6,1,0.24,0.24,0.75,0.0,1.0,7.0,8.0
10,2011-01-01,9,False,6,1,0.32,0.32,0.76,0.0,8.0,6.0,14.0
11,2011-01-01,10,False,6,1,0.20590000000000003,0.20590000000000003,0.76,0.2537,12.0,24.0,36.0
12,2011-01-01,11,False,6,1,0.36,0.36,0.81,0.2836,4.921,30.0,56.0
13,2011-01-01,12,False,6,1,0.20590000000000003,0.20590000000000003,0.77,0.2836,4.921,55.0,84.0
14,2011-01-01,13,False,6,2,0.20590000000000003,0.20590000000000003,0.72,0.2985,4.921,47.0,94.0
15,2011-01-01,14,False,6,2,0.20590000000000003,0.20590000000000003,0.72,0.2836,4.921,71.0,106.0
16,2011-01-01,15,False,6,2,0.20590000000000003,0.20590000000000003,0.77,0.2985,4.921,70.0,110.0
17,2011-01-01,16,False,6,2,0.20590000000000003,0.20590000000000003,0.82,0.2985,4.921,52.0,93.0
18,2011-01-01,17,False,6,2,0.20590000000000003,0.20590000000000003,0.82,0.2836,4.921,52.0,67.0
19,2011-01-01,18,False,6,3,0.20590000000000003,0.20590000000000003,0.88,0.2537,9.0,26.0,35.0
20,2011-01-01,19,False,6,3,0.20590000000000003,0.20590000000000003,0.88,0.2537,6.0,31.0,37.0
21,2011-01-01,20,False,6,2,0.20590000000000003,0.20590000000000003,0.87,0.2537,11.0,25.0,36.0
22,2011-01-01,21,False,6,2,0.20590000000000003,0.20590000000000003,0.87,0.194,3.0,31.0,34.0
23,2011-01-01,22,False,6,2,0.20590000000000003,0.20590000000000003,0.94,0.2239,11.0,17.0,28.0
24,2011-01-01,23,False,6,2,0.20590000000000003,0.20590000000000003,0.88,0.2985,4.921,24.0,39.0
25,2011-02-01,0,False,0,2,0.20590000000000003,0.20590000000000003,0.88,0.2985,4.0,13.0,17.0
26,2011-02-01,1,False,0,2,0.20590000000000003,0.20590000000000003,0.94,0.2537,1.0,16.0,17.0
27,2011-02-01,2,False,0,2,0.20590000000000003,0.20590000000000003,1.0,0.2836,1.0,8.0,9.0
28,2011-02-01,3,False,0,2,0.20590000000000003,0.20590000000000003,0.94,0.194,2.0,4.0,6.0
29,2011-02-01,4,False,0,2,0.20590000000000003,0.20590000000000003,0.94,0.194,2.0,1.0,3.0
30,2011-02-01,6,False,0,3,0.20590000000000003,0.20590000000000003,0.77,0.2985,0.0,2.0,2.0
31,2011-02-01,7,False,0,2,0.20590000000000003,0.20590000000000003,0.76,0.194,0.0,1.0,1.0
32,2011-02-01,8,False,0,3,0.20590000000000003,0.20590000000000003,0.71,0.2239,0.0,8.0,8.0
33,2011-02-01,9,False,0,2,0.20590000000000003,0.20590000000000003,0.76,0.2239,1.0,19.0,20.0
34,2011-02-01,10,False,0,2,0.36,0.36,0.81,0.2239,7.0,46.0,53.0
35,2011-02-01,11,False,0,2,0.36,0.36,0.71,0.2537,4.921,54.0,70.0
36,2011-02-01,12,False,0,2,0.36,0.36,0.66,0.2985,4.921,73.0,93.0
37,2011-02-01,13,False,0,2,0.36,0.36,0.66,0.1343,11.0,64.0,75.0
38,2011-02-01,14,False,0,3,0.36,0.36,0.76,0.194,4.0,55.0,59.0
39,2011-02-01,15,False,0,3,0.34,0.34,0.81,0.1642,4.921,55.0,74.0
40,2011-02-01,16,False,0,3,0.34,0.34,0.71,0.1642,9.0,67.0,76.0
41,2011-02-01,17,False,0,1,0.34,0.34,0.57,0.194,7.0,58.0,65.0
42,2011-02-01,18,False,0,2,0.36,0.36,0.46,0.3284,10.0,43.0,53.0
43,2011-02-01,19,False,0,1,0.32,0.32,0.42,0.4478,1.0,29.0,30.0
44,2011-02-01,20,False,0,1,0.3,0.3,0.39,0.3582,5.0,17.0,22.0
45,2011-02-01,21,False,0,1,0.26,0.26,0.44,0.3284,11.0,20.0,31.0
46,2011-02-01,22,False,0,1,0.24,0.24,0.44,0.2985,0.0,9.0,9.0
47,2011-02-01,23,False,0,1,0.22,0.22,0.47,0.1642,0.0,8.0,8.0
48,2011-03-01,0,False,1,1,0.22,0.22,0.44,0.3582,0.0,5.0,5.0
49,2011-03-01,1,False,1,1,0.2,0.2,0.44,0.4179,0.0,2.0,2.0
50,2011-03-01,4,False,1,1,0.16,0.16,0.47,0.3881,0.0,1.0,1.0
51,2011-03-01,5,False,1,1,0.16,0.16,0.47,0.2836,0.0,3.0,3.0
52,2011-03-01,6,False,1,1,0.14,0.14,0.5,0.3881,0.0,30.0,30.0
53,2011-03-01,7,False,1,1,0.14,0.14,0.5,0.194,1.0,63.0,64.0
54,2011-03-01,8,False,1,1,0.14,0.14,0.5,0.2836,1.0,53.383,154.0
55,2011-03-01,9,False,1,1,0.16,0.16,0.43,0.3881,7.0,81.0,88.0
56,2011-03-01,10,False,1,1,0.18,0.18,0.43,0.2537,11.0,33.0,44.0
57,2011-03-01,11,False,1,1,0.2,0.2,0.4,0.3284,10.0,41.0,51.0
58,2011-03-01,12,False,1,1,0.22,0.22,0.35,0.2985,4.921,48.0,61.0
59,2011-03-01,13,False,1,1,0.24,0.24,0.35,0.2836,8.0,53.0,61.0
60,2011-03-01,14,False,1,1,0.26,0.26,0.3,0.2836,11.0,66.0,77.0
61,2011-03-01,15,False,1,1,0.26,0.26,0.3,0.2537,4.921,58.0,72.0
62,2011-03-01,16,False,1,1,0.26,0.26,0.3,0.2537,9.0,67.0,76.0
63,2011-03-01,17,False,1,1,0.24,0.24,0.3,0.2239,11.0,53.383,157.0
64,2011-03-01,18,False,1,1,0.24,0.24,0.32,0.1045,9.0,53.383,157.0
65,2011-03-01,19,False,1,1,0.2,0.2,0.47,0.0,8.0,102.0,110.0
66,2011-03-01,20,False,1,1,0.2,0.2,0.47,0.1045,3.0,49.0,52.0
67,2011-03-01,21,False,1,1,0.18,0.18,0.64,0.1343,3.0,49.0,52.0
68,2011-03-01,22,False,1,1,0.14,0.14,0.69,0.1343,0.0,20.0,20.0
69,2011-03-01,23,False,1,1,0.18,0.18,0.55,0.1045,1.0,11.0,12.0
70,2011-04-01,0,False,2,1,0.16,0.16,0.55,0.1045,0.0,5.0,5.0
71,2011-04-01,1,False,2,1,0.16,0.16,0.59,0.1045,0.0,2.0,2.0
72,2011-04-01,2,False,2,1,0.14,0.14,0.63,0.1343,0.0,1.0,1.0
73,2011-04-01,4,False,2,1,0.14,0.14,0.63,0.0896,0.0,2.0,2.0
74,2011-04-01,5,False,2,1,0.12,0.12,0.68,0.1045,0.0,4.0,4.0
75,2011-04-01,6,False,2,1,0.12,0.12,0.74,0.1045,0.0,36.0,36.0
76,2011-04-01,7,False,2,1,0.12,0.12,0.74,0.1343,2.0,92.0,94.0
77,2011-04-01,8,False,2,1,0.14,0.14,0.69,0.1642,2.0,53.383,58.304
78,2011-04-01,9,False,2,1,0.16,0.16,0.64,0.2239,2.0,98.0,100.0
79,2011-04-01,10,False,2,2,0.16,0.16,0.69,0.3284,5.0,37.0,42.0
80,2011-04-01,11,False,2,1,0.22,0.22,0.51,0.2985,7.0,50.0,57.0
81,2011-04-01,12,False,2,1,0.22,0.22,0.51,0.1642,12.0,66.0,78.0
82,2011-04-01,13,False,2,1,0.24,0.24,0.56,0.194,4.921,79.0,97.0
83,2011-04-01,14,False,2,1,0.26,0.26,0.52,0.2239,9.0,54.0,63.0
84,2011-04-01,15,False,2,1,0.28,0.28,0.52,0.2537,4.921,48.0,65.0
85,2011-04-01,16,False,2,1,0.3,0.3,0.49,0.2537,4.921,68.0,83.0
86,2011-04-01,17,False,2,1,0.28,0.28,0.48,0.2239,10.0,53.383,58.304
87,2011-04-01,18,False,2,1,0.26,0.26,0.48,0.194,3.0,53.383,58.304
88,2011-04-01,19,False,2,1,0.24,0.24,0.48,0.1045,2.0,110.0,112.0
89,2011-04-01,20,False,2,1,0.24,0.24,0.48,0.1045,1.0,53.0,54.0
90,2011-04-01,21,False,2,1,0.22,0.22,0.64,0.0,0.0,48.0,48.0
91,2011-04-01,22,False,2,1,0.22,0.22,0.64,0.0896,1.0,34.0,35.0
92,2011-04-01,23,False,2,1,0.2,0.2,0.69,0.0896,2.0,9.0,11.0
93,2011-05-01,0,False,3,1,0.2,0.2,0.64,0.0,0.0,6.0,6.0
94,2011-05-01,1,False,3,1,0.16,0.16,0.74,0.0896,0.0,6.0,6.0
95,2011-05-01,2,False,3,1,0.16,0.16,0.74,0.0896,0.0,2.0,2.0
96,2011-05-01,4,False,3,1,0.24,0.24,0.48,0.2239,0.0,2.0,2.0
97,2011-05-01,5,False,3,1,0.22,0.22,0.47,0.1642,0.0,3.0,3.0
98,2011-05-01,6,False,3,1,0.2,0.2,0.47,0.2239,0.0,33.0,33.0
99,2011-05-01,7,False,3,1,0.18,0.18,0.43,0.194,1.0,87.0,88.0
100,2011-05-01,8,False,3,1,0.2,0.2,0.4,0.2985,3.0,53.383,58.304
101,2011-05-01,9,False,3,1,0.22,0.22,0.37,0.3284,6.0,109.0,115.0
102,2011-05-01,10,False,3,1,0.22,0.22,0.37,0.3284,4.0,53.0,57.0
103,2011-05-01,11,False,3,1,0.26,0.26,0.33,0.3284,12.0,34.0,46.0
104,2011-05-01,12,False,3,1,0.26,0.26,0.33,0.3284,5.0,74.0,79.0
105,2011-05-01,13,False,3,1,0.28,0.28,0.3,0.2985,6.0,65.0,71.0
106,2011-05-01,14,False,3,1,0.3,0.3,0.28,0.194,10.0,52.0,62.0
107,2011-05-01,15,False,3,1,0.3,0.3,0.28,0.194,7.0,55.0,62.0
108,2011-05-01,16,False,3,1,0.3,0.3,0.28,0.0896,4.0,85.0,89.0
109,2011-05-01,17,False,3,1,0.24,0.24,0.38,0.194,4.0,53.383,58.304
110,2011-05-01,18,False,3,1,0.24,0.24,0.38,0.1343,3.0,53.383,58.304
111,2011-05-01,19,False,3,1,0.24,0.24,0.38,0.1045,5.0,127.0,132.0
112,2011-05-01,20,False,3,1,0.22,0.22,0.47,0.1642,7.0,82.0,89.0
113,2011-05-01,21,False,3,1,0.2,0.2,0.51,0.194,3.0,40.0,43.0
114,2011-05-01,22,False,3,1,0.18,0.18,0.55,0.1343,1.0,41.0,42.0
115,2011-05-01,23,False,3,1,0.2,0.2,0.47,0.0,1.0,18.0,19.0
116,2011-06-01,0,False,4,1,0.18,0.18,0.55,0.0,0.0,11.0,11.0
117,2011-06-01,1,False,4,1,0.16,0.16,0.64,0.0,0.0,4.0,4.0
118,2011-06-01,2,False,4,1,0.16,0.16,0.64,0.0,0.0,2.0,2.0
119,2011-06-01,4,False,4,2,0.16,0.16,0.64,0.0896,0.0,1.0,1.0
120,2011-06-01,5,False,4,2,0.14,0.14,0.69,0.0896,0.0,4.0,4.0
121,2011-06-01,6,False,4,2,0.14,0.14,0.63,0.1045,0.0,36.0,36.0
122,2011-06-01,7,False,4,2,0.16,0.16,0.59,0.0,0.0,95.0,95.0
123,2011-06-01,8,False,4,1,0.16,0.16,0.59,0.0,3.0,53.383,58.304
124,2011-06-01,9,False,4,2,0.18,0.18,0.51,0.0,6.0,116.0,122.0
125,2011-06-01,10,False,4,1,0.2,0.2,0.47,0.0,3.0,42.0,45.0
126,2011-06-01,11,False,4,1,0.22,0.22,0.44,0.0896,2.0,57.0,59.0
127,2011-06-01,12,False,4,1,0.26,0.26,0.35,0.0,6.0,78.0,84.0
128,2011-06-01,13,False,4,1,0.26,0.26,0.35,0.1045,12.0,55.0,67.0
129,2011-06-01,14,False,4,1,0.28,0.28,0.36,0.1642,11.0,59.0,70.0
130,2011-06-01,15,False,4,1,0.28,0.28,0.36,0.0,8.0,54.0,62.0
131,2011-06-01,16,False,4,1,0.26,0.26,0.38,0.1642,12.0,74.0,86.0
132,2011-06-01,17,False,4,1,0.22,0.22,0.51,0.1642,9.0,53.383,58.304
133,2011-06-01,18,False,4,1,0.22,0.22,0.51,0.1343,5.0,53.383,58.304
134,2011-06-01,19,False,4,1,0.22,0.22,0.55,0.0896,3.0,109.0,112.0
135,2011-06-01,20,False,4,1,0.2,0.2,0.51,0.1642,3.0,66.0,69.0
136,2011-06-01,21,False,4,2,0.22,0.22,0.55,0.2239,0.0,48.0,48.0
137,2011-06-01,22,False,4,2,0.22,0.22,0.51,0.2836,1.0,51.0,52.0
138,2011-06-01,23,False,4,2,0.2,0.2,0.59,0.194,4.0,19.0,23.0
139,2011-07-01,0,False,5,2,0.2,0.2,0.64,0.194,4.0,13.0,17.0
140,2011-07-01,1,False,5,2,0.2,0.2,0.69,0.2239,2.0,5.0,7.0
141,2011-07-01,2,False,5,2,0.2,0.2,0.69,0.2239,0.0,1.0,1.0
142,2011-07-01,4,False,5,2,0.2,0.2,0.69,0.1343,0.0,1.0,1.0
143,2011-07-01,5,False,5,3,0.22,0.22,0.55,0.0,0.0,5.0,5.0
144,2011-07-01,6,False,5,2,0.2,0.2,0.69,0.0,8.0,26.0,34.0
145,2011-07-01,7,False,5,1,0.2,0.2,0.69,0.1343,8.0,76.0,84.0
146,2011-07-01,8,False,5,1,0.2,0.2,0.51,0.2537,4.921,53.383,58.304
147,2011-07-01,9,False,5,1,0.2,0.2,0.47,0.2985,9.0,125.0,134.0
148,2011-07-01,10,False,5,1,0.22,0.22,0.37,0.3284,4.921,47.0,63.0
149,2011-07-01,11,False,5,2,0.2,0.2,0.4,0.2239,4.921,48.0,67.0
150,2011-07-01,12,False,5,2,0.2,0.2,0.37,0.2537,9.0,50.0,59.0
151,2011-07-01,13,False,5,2,0.2,0.2,0.37,0.2836,9.0,64.0,73.0
152,2011-07-01,14,False,5,2,0.2,0.2,0.4,0.2537,7.0,43.0,50.0
153,2011-07-01,15,False,5,2,0.2,0.2,0.37,0.1642,9.0,63.0,72.0
154,2011-07-01,16,False,5,2,0.2,0.2,0.37,0.1642,5.0,82.0,87.0
155,2011-07-01,17,False,5,2,0.2,0.2,0.37,0.0,9.0,53.383,58.304
156,2011-07-01,18,False,5,1,0.2,0.2,0.4,0.0896,7.0,116.0,123.0
157,2011-07-01,19,False,5,1,0.16,0.16,0.55,0.0896,3.0,92.0,95.0
158,2011-07-01,20,False,5,1,0.18,0.18,0.47,0.1045,1.0,50.0,51.0
159,2011-07-01,21,False,5,1,0.18,0.18,0.47,0.1343,0.0,39.0,39.0
160,2011-07-01,22,False,5,2,0.18,0.18,0.43,0.1642,2.0,34.0,36.0
161,2011-07-01,23,False,5,2,0.18,0.18,0.51,0.1642,1.0,14.0,15.0
162,2011-08-01,0,False,6,2,0.18,0.18,0.51,0.1642,1.0,24.0,25.0
163,2011-08-01,1,False,6,2,0.18,0.18,0.55,0.0896,1.0,15.0,16.0
164,2011-08-01,2,False,6,2,0.18,0.18,0.55,0.0,3.0,13.0,16.0
165,2011-08-01,3,False,6,3,0.18,0.18,0.55,0.1642,0.0,7.0,7.0
166,2011-08-01,4,False,6,3,0.18,0.18,0.55,0.1642,0.0,1.0,1.0
167,2011-08-01,5,False,6,2,0.16,0.16,0.74,0.1642,0.0,5.0,5.0
168,2011-08-01,6,False,6,2,0.16,0.16,0.74,0.1642,0.0,2.0,2.0
169,2011-08-01,7,False,6,2,0.16,0.16,0.74,0.1045,1.0,8.0,9.0
170,2011-08-01,8,False,6,3,0.16,0.16,0.93,0.1045,0.0,15.0,15.0
171,2011-08-01,9,False,6,3,0.16,0.16,0.93,0.1045,0.0,20.0,20.0
172,2011-08-01,10,False,6,2,0.18,0.18,0.8,0.1642,5.0,56.0,61.0
173,2011-08-01,11,False,6,2,0.2,0.2,0.69,0.3881,2.0,60.0,62.0
174,2011-08-01,12,False,6,2,0.2,0.2,0.59,0.3582,8.0,90.0,98.0
175,2011-08-01,13,False,6,1,0.2,0.2,0.44,0.3284,7.0,95.0,102.0
176,2011-08-01,14,False,6,1,0.2,0.2,0.32,0.4925,12.0,83.0,95.0
177,2011-08-01,15,False,6,1,0.2,0.2,0.32,0.4478,5.0,69.0,74.0
178,2011-08-01,16,False,6,1,0.18,0.18,0.29,0.4478,8.0,68.0,76.0
179,2011-08-01,17,False,6,1,0.16,0.16,0.37,0.5522,5.0,64.0,69.0
180,2011-08-01,18,False,6,1,0.14,0.14,0.39,0.2985,3.0,52.0,55.0
181,2011-08-01,19,False,6,1,0.14,0.14,0.36,0.2537,4.0,26.0,30.0
182,2011-08-01,20,False,6,1,0.12,0.12,0.36,0.2537,0.0,28.0,28.0
183,2011-08-01,21,False,6,1,0.12,0.12,0.39,0.3582,2.0,35.0,37.0
184,2011-08-01,22,False,6,1,0.12,0.12,0.36,0.3881,1.0,33.0,34.0
185,2011-08-01,23,False,6,1,0.1,0.1,0.39,0.4478,0.0,22.0,22.0
186,2011-09-01,0,False,0,1,0.1,0.1,0.42,0.3881,1.0,24.0,25.0
187,2011-09-01,1,False,0,1,0.1,0.1,0.42,0.4627,0.0,12.0,12.0
188,2011-09-01,2,False,0,1,0.1,0.1,0.46,0.4627,0.0,11.0,11.0
189,2011-09-01,3,False,0,1,0.1,0.1,0.46,0.4179,0.0,4.0,4.0
190,2011-09-01,4,False,0,1,0.08,0.08,0.53,0.194,0.0,1.0,1.0
191,2011-09-01,5,False,0,1,0.08,0.08,0.53,0.194,0.0,1.0,1.0
192,2011-09-01,6,False,0,1,0.1,0.1,0.49,0.2836,0.0,1.0,1.0
193,2011-09-01,7,False,0,1,0.08,0.08,0.53,0.194,1.0,5.0,6.0
194,2011-09-01,8,False,0,1,0.1,0.1,0.49,0.2836,0.0,10.0,10.0
195,2011-09-01,9,False,0,1,0.12,0.12,0.46,0.5224,0.0,19.0,19.0
196,2011-09-01,10,False,0,1,0.14,0.14,0.43,0.3881,0.0,49.0,49.0
197,2011-09-01,11,False,0,1,0.16,0.16,0.4,0.5224,2.0,47.0,49.0
198,2011-09-01,12,False,0,1,0.18,0.18,0.37,0.4478,4.0,79.0,83.0
199,2011-09-01,13,False,0,1,0.2,0.2,0.34,0.4478,6.0,69.0,75.0
200,2011-09-01,14,False,0,1,0.22,0.22,0.32,0.4627,8.0,64.0,72.0
201,2011-09-01,15,False,0,1,0.22,0.22,0.35,0.3582,5.0,77.0,82.0
202,2011-09-01,16,False,0,1,0.2,0.2,0.34,0.4478,4.921,79.0,92.0
203,2011-09-01,17,False,0,1,0.18,0.18,0.37,0.3881,3.0,59.0,62.0
204,2011-09-01,18,False,0,1,0.16,0.16,0.4,0.3284,4.0,44.0,48.0
205,2011-09-01,19,False,0,1,0.16,0.16,0.43,0.3284,1.0,40.0,41.0
206,2011-09-01,20,False,0,1,0.14,0.14,0.46,0.2537,0.0,38.0,38.0
207,2011-09-01,21,False,0,1,0.14,0.14,0.46,0.4179,1.0,19.0,20.0
208,2011-09-01,22,False,0,1,0.14,0.14,0.46,0.2985,5.0,10.0,15.0
209,2011-09-01,23,False,0,1,0.12,0.12,0.5,0.194,0.0,6.0,6.0
210,2011-10-01,0,False,1,1,0.12,0.12,0.5,0.2836,2.0,3.0,5.0
211,2011-10-01,1,False,1,1,0.12,0.12,0.5,0.2836,1.0,0.0,1.0
212,2011-10-01,2,False,1,1,0.12,0.12,0.5,0.2239,0.0,3.0,3.0
213,2011-10-01,3,False,1,1,0.12,0.12,0.5,0.2239,0.0,1.0,1.0
214,2011-10-01,4,False,1,1,0.1,0.1,0.54,0.1343,1.0,2.0,3.0
215,2011-10-01,5,False,1,1,0.1,0.1,0.54,0.2537,0.0,3.0,3.0
216,2011-10-01,6,False,1,1,0.12,0.12,0.5,0.2836,0.0,31.0,31.0
217,2011-10-01,7,False,1,1,0.12,0.12,0.5,0.2239,2.0,75.0,77.0
218,2011-10-01,8,False,1,2,0.12,0.12,0.5,0.2836,4.0,53.383,58.304
219,2011-10-01,9,False,1,2,0.14,0.14,0.5,0.2537,2.0,92.0,94.0
220,2011-10-01,10,False,1,2,0.14,0.14,0.5,0.2985,0.0,31.0,31.0
221,2011-10-01,11,False,1,2,0.16,0.16,0.47,0.2836,2.0,28.0,30.0
222,2011-10-01,12,False,1,2,0.2,0.2,0.4,0.2836,5.0,47.0,52.0
223,2011-10-01,13,False,1,2,0.2,0.2,0.4,0.2836,4.0,50.0,54.0
224,2011-10-01,14,False,1,2,0.2,0.2,0.4,0.2239,0.0,47.0,47.0
225,2011-10-01,15,False,1,2,0.2,0.2,0.4,0.2239,2.0,43.0,45.0
226,2011-10-01,16,False,1,1,0.2,0.2,0.4,0.1343,4.0,70.0,74.0
227,2011-10-01,17,False,1,1,0.2,0.2,0.4,0.1045,4.0,53.383,58.304
228,2011-10-01,18,False,1,1,0.2,0.2,0.4,0.2239,1.0,53.383,155.0
229,2011-10-01,19,False,1,1,0.16,0.16,0.47,0.1642,3.0,92.0,95.0
230,2011-10-01,20,False,1,1,0.16,0.16,0.5,0.1642,1.0,73.0,74.0
231,2011-10-01,21,False,1,1,0.14,0.14,0.59,0.194,1.0,37.0,38.0
232,2011-10-01,22,False,1,1,0.14,0.14,0.59,0.1642,2.0,22.0,24.0
233,2011-10-01,23,False,1,1,0.14,0.14,0.59,0.1642,0.0,18.0,18.0
234,2011-11-01,0,False,2,1,0.14,0.14,0.59,0.1045,2.0,10.0,12.0
235,2011-11-01,1,False,2,1,0.14,0.14,0.59,0.1642,0.0,3.0,3.0
236,2011-11-01,2,False,2,2,0.16,0.16,0.55,0.194,0.0,3.0,3.0
237,2011-11-01,5,False,2,2,0.16,0.16,0.55,0.1343,0.0,6.0,6.0
238,2011-11-01,6,False,2,2,0.16,0.16,0.55,0.1343,0.0,27.0,27.0
239,2011-11-01,7,False,2,2,0.16,0.16,0.55,0.0,2.0,97.0,99.0
240,2011-11-01,8,False,2,2,0.18,0.18,0.51,0.0896,3.0,53.383,58.304
241,2011-11-01,9,False,2,2,0.18,0.18,0.51,0.1642,3.0,127.0,130.0
242,2011-11-01,10,False,2,2,0.2,0.2,0.51,0.1642,3.0,51.0,54.0
243,2011-11-01,11,False,2,2,0.2,0.2,0.47,0.1343,4.0,31.0,35.0
244,2011-11-01,12,False,2,2,0.2,0.2,0.51,0.1045,2.0,55.0,57.0
245,2011-11-01,13,False,2,2,0.2,0.2,0.59,0.0896,6.0,46.0,52.0
246,2011-11-01,14,False,2,2,0.2,0.2,0.59,0.0896,3.0,60.0,63.0
